date,supply_petroleum,supply_motorgas
25-Aug-95,17961,8206
1-Sep-95,17603,7825
8-Sep-95,18087,8078
15-Sep-95,17584,8249
22-Sep-95,17547,7821
29-Sep-95,16378,7257
6-Oct-95,17951,8106
13-Oct-95,17704,7879
20-Oct-95,17962,7712
27-Oct-95,18169,8103
3-Nov-95,17461,7449
10-Nov-95,18344,8477
17-Nov-95,18258,8021
24-Nov-95,17321,7840
1-Dec-95,17841,7439
8-Dec-95,18978,7949
15-Dec-95,18355,7489
22-Dec-95,19138,8115
29-Dec-95,17302,7035
5-Jan-96,18459,7958
12-Jan-96,18285,7513
19-Jan-96,17898,6949
26-Jan-96,18294,7393
2-Feb-96,18152,7513
9-Feb-96,19548,7520
16-Feb-96,18863,7868
23-Feb-96,17871,7826
1-Mar-96,17957,7338
8-Mar-96,17610,7877
15-Mar-96,18193,7757
22-Mar-96,18561,7900
29-Mar-96,17705,7568
5-Apr-96,17941,7280
12-Apr-96,17391,7804
19-Apr-96,16895,7433
26-Apr-96,16874,8079
3-May-96,17305,7592
10-May-96,17910,8267
17-May-96,16887,7512
24-May-96,18920,8080
31-May-96,17646,7836
7-Jun-96,17600,7946
14-Jun-96,17339,7957
21-Jun-96,18556,7956
28-Jun-96,18955,8563
5-Jul-96,17354,8015
12-Jul-96,17687,7968
19-Jul-96,17901,8152
26-Jul-96,18953,8067
2-Aug-96,18770,8279
9-Aug-96,17787,7722
16-Aug-96,17541,7818
23-Aug-96,18458,8364
30-Aug-96,17974,8369
6-Sep-96,18052,7843
13-Sep-96,17555,7537
20-Sep-96,17999,8000
27-Sep-96,17938,7619
4-Oct-96,18664,7935
11-Oct-96,18129,7637
18-Oct-96,18974,7958
25-Oct-96,18373,7991
1-Nov-96,18687,7682
8-Nov-96,18540,7804
15-Nov-96,18490,8073
22-Nov-96,18100,7883
29-Nov-96,17558,7370
6-Dec-96,17683,7706
13-Dec-96,19464,8355
20-Dec-96,18972,8051
27-Dec-96,18421,7740
3-Jan-97,16375,7122
10-Jan-97,18085,7440
17-Jan-97,18614,7408
24-Jan-97,18258,7265
31-Jan-97,18335,7125
7-Feb-97,18000,7013
14-Feb-97,18207,7530
21-Feb-97,17900,8011
28-Feb-97,16973,7779
7-Mar-97,17422,7417
14-Mar-97,18197,8125
21-Mar-97,18350,7729
28-Mar-97,18360,7492
4-Apr-97,18385,8115
11-Apr-97,17720,7791
18-Apr-97,18383,7914
25-Apr-97,17646,7922
2-May-97,20017,8224
9-May-97,18304,7765
16-May-97,18468,8253
23-May-97,18719,8088
30-May-97,17149,8154
6-Jun-97,18366,7590
13-Jun-97,18623,8009
20-Jun-97,19154,8557
27-Jun-97,18920,8234
4-Jul-97,19309,8489
11-Jul-97,18456,8606
18-Jul-97,19552,8595
25-Jul-97,19141,8600
1-Aug-97,18108,8290
8-Aug-97,18472,8253
15-Aug-97,19298,8539
22-Aug-97,18507,7922
29-Aug-97,19159,8695
5-Sep-97,17595,8053
12-Sep-97,18546,8215
19-Sep-97,18274,7746
26-Sep-97,19489,8140
3-Oct-97,19201,8379
10-Oct-97,18956,8221
17-Oct-97,18480,8315
24-Oct-97,18848,7741
31-Oct-97,19074,8355
7-Nov-97,19124,8025
14-Nov-97,18611,7793
21-Nov-97,19266,8043
28-Nov-97,18485,7578
5-Dec-97,19260,8437
12-Dec-97,18889,7955
19-Dec-97,19807,8151
26-Dec-97,19288,8201
2-Jan-98,17809,7832
9-Jan-98,17977,7673
16-Jan-98,18876,7779
23-Jan-98,19251,7940
30-Jan-98,18553,7670
6-Feb-98,17891,7673
13-Feb-98,18977,8201
20-Feb-98,18429,8005
27-Feb-98,17357,7662
6-Mar-98,19252,7744
13-Mar-98,19225,8103
20-Mar-98,17872,7753
27-Mar-98,18287,7996
3-Apr-98,19372,8992
10-Apr-98,18264,8031
17-Apr-98,19102,8303
24-Apr-98,18377,8118
1-May-98,17915,8190
8-May-98,17793,7503
15-May-98,19609,8524
22-May-98,17946,8337
29-May-98,17939,8205
5-Jun-98,19790,8312
12-Jun-98,18903,8103
19-Jun-98,18696,8160
26-Jun-98,19313,8644
3-Jul-98,19592,8755
10-Jul-98,18272,8234
17-Jul-98,19305,8749
24-Jul-98,18487,8125
31-Jul-98,18598,8997
7-Aug-98,19243,8317
14-Aug-98,19356,8981
