date,supply_petroleum,supply_motorgas
26-Feb-10,19618,8882
5-Mar-10,19653,8992
12-Mar-10,18832,8849
19-Mar-10,19336,9087
26-Mar-10,19021,9060
2-Apr-10,18907,9076
9-Apr-10,19012,9325
16-Apr-10,18484,9152
23-Apr-10,18428,9290
30-Apr-10,19467,9282
7-May-10,19320,9140
14-May-10,19604,9092
21-May-10,19714,9099
28-May-10,20021,9174
4-Jun-10,19316,9194
11-Jun-10,19135,9338
18-Jun-10,19498,9241
25-Jun-10,18967,9462
2-Jul-10,19599,9449
9-Jul-10,18724,9080
16-Jul-10,19281,9435
23-Jul-10,19642,9632
30-Jul-10,19302,9477
6-Aug-10,19472,9236
13-Aug-10,19415,9459
20-Aug-10,19293,9375
27-Aug-10,19590,9386
3-Sep-10,19447,9263
10-Sep-10,19216,9019
17-Sep-10,19098,8847
24-Sep-10,19754,9383
1-Oct-10,18784,8989
8-Oct-10,18714,8812
15-Oct-10,18682,8891
22-Oct-10,19366,9358
29-Oct-10,19267,9015
5-Nov-10,19609,9056
12-Nov-10,18919,8952
19-Nov-10,19010,8829
26-Nov-10,18454,8867
3-Dec-10,19936,9171
10-Dec-10,20209,9349
17-Dec-10,19981,9213
24-Dec-10,20749,9399
31-Dec-10,19059,8853
7-Jan-11,18958,8819
14-Jan-11,19113,8775
21-Jan-11,19035,8632
28-Jan-11,18787,8549
4-Feb-11,19157,8524
11-Feb-11,19793,8810
18-Feb-11,19664,9101
25-Feb-11,18958,9162
4-Mar-11,19669,9192
11-Mar-11,19111,8830
18-Mar-11,19310,9074
25-Mar-11,18605,8866
1-Apr-11,19183,8853
8-Apr-11,19258,9181
15-Apr-11,19274,9062
22-Apr-11,19588,9148
29-Apr-11,18332,8943
6-May-11,18164,8826
13-May-11,18515,9048
20-May-11,18916,9025
27-May-11,19134,9431
3-Jun-11,19222,9163
10-Jun-11,18806,9370
17-Jun-11,19037,9319
24-Jun-11,18877,9261
1-Jul-11,19232,9309
8-Jul-11,18513,9016
15-Jul-11,18853,9028
22-Jul-11,18426,8999
29-Jul-11,19641,9215
5-Aug-11,20293,9244
12-Aug-11,19414,9195
19-Aug-11,19243,9009
26-Aug-11,19562,9229
2-Sep-11,19386,8956
9-Sep-11,18654,8848
16-Sep-11,19024,8858
23-Sep-11,19083,8964
30-Sep-11,19101,8959
7-Oct-11,18737,9010
14-Oct-11,18329,8598
21-Oct-11,18884,8501
28-Oct-11,18641,8518
4-Nov-11,20037,8671
11-Nov-11,19311,8625
18-Nov-11,18585,8592
25-Nov-11,17946,8769
2-Dec-11,18308,8574
9-Dec-11,18409,8666
16-Dec-11,19324,8879
23-Dec-11,18499,8923
30-Dec-11,18023,8556
6-Jan-12,17811,8179
13-Jan-12,17902,7996
20-Jan-12,19241,8098
27-Jan-12,17704,8018
3-Feb-12,17618,8039
10-Feb-12,18655,8167
17-Feb-12,18237,8628
24-Feb-12,18256,8363
2-Mar-12,18178,8262
9-Mar-12,18571,8415
16-Mar-12,17674,8379
23-Mar-12,18204,8710
30-Mar-12,18186,8783
6-Apr-12,19005,8681
13-Apr-12,18863,8775
20-Apr-12,18756,8496
27-Apr-12,18544,8692
4-May-12,18603,8864
11-May-12,19013,8971
18-May-12,18683,8633
25-May-12,18320,8931
1-Jun-12,18226,8648
8-Jun-12,19405,9130
15-Jun-12,18599,8693
22-Jun-12,19064,8846
29-Jun-12,19601,9001
6-Jul-12,18535,8917
13-Jul-12,18596,8628
20-Jul-12,19076,8660
27-Jul-12,19150,8820
3-Aug-12,18946,8839
10-Aug-12,20026,9308
17-Aug-12,18747,9081
24-Aug-12,19116,9064
31-Aug-12,18942,9177
7-Sep-12,17999,8695
14-Sep-12,18334,8632
21-Sep-12,18315,8770
28-Sep-12,18720,8633
5-Oct-12,18719,8587
12-Oct-12,19519,8729
19-Oct-12,19136,8493
26-Oct-12,18326,8844
2-Nov-12,18371,8307
9-Nov-12,19346,8908
16-Nov-12,19437,8898
23-Nov-12,18969,8427
30-Nov-12,18337,8354
7-Dec-12,18825,8488
14-Dec-12,19955,8618
21-Dec-12,18857,8608
28-Dec-12,18894,8518
4-Jan-13,17755,8010
11-Jan-13,17954,8320
18-Jan-13,18645,8431
25-Jan-13,18681,8501
1-Feb-13,18052,8415
8-Feb-13,19048,8404
15-Feb-13,18412,8437
22-Feb-13,18680,8597
1-Mar-13,18296,8364
8-Mar-13,18597,8627
15-Mar-13,17765,8324
22-Mar-13,18873,8399
29-Mar-13,18966,8523
5-Apr-13,18121,8477
12-Apr-13,18461,8383
19-Apr-13,18610,8750
26-Apr-13,17937,8415
3-May-13,19100,8445
10-May-13,18516,8341
17-May-13,18846,8790
24-May-13,18286,8956
31-May-13,18779,8822
7-Jun-13,17923,8648
14-Jun-13,18419,8840
21-Jun-13,18967,8894
28-Jun-13,20392,9294
5-Jul-13,19239,9299
12-Jul-13,19467,8729
19-Jul-13,19787,8982
26-Jul-13,19664,9147
2-Aug-13,19688,9246
9-Aug-13,19088,9190
16-Aug-13,19337,9200
23-Aug-13,19449,9031
30-Aug-13,18911,9094
6-Sep-13,18360,8605
13-Sep-13,19820,9028
20-Sep-13,19261,8846
27-Sep-13,18681,8527
4-Oct-13,19044,8846
11-Oct-13,18990,9077
18-Oct-13,18269,8797
25-Oct-13,20136,9054
1-Nov-13,20223,9292
8-Nov-13,20297,9032
15-Nov-13,20438,8924
22-Nov-13,19635,8909
29-Nov-13,19973,8873
6-Dec-13,18554,8348
13-Dec-13,20996,9016
20-Dec-13,20484,9176
27-Dec-13,19004,8893
3-Jan-14,18222,8274
10-Jan-14,18858,8021
17-Jan-14,18959,8059
24-Jan-14,20047,8584
31-Jan-14,19110,8452
7-Feb-14,18541,8325
14-Feb-14,18709,8030
21-Feb-14,18283,8535
28-Feb-14,18291,8411
7-Mar-14,19027,8949
14-Mar-14,18783,8512
21-Mar-14,18257,9002
28-Mar-14,18199,8713
4-Apr-14,18289,8996
11-Apr-14,18412,8616
18-Apr-14,18051,8430
25-Apr-14,18849,8693
2-May-14,18552,8719
9-May-14,19447,9191
16-May-14,18855,9174
23-May-14,19563,9310
30-May-14,18586,9104
6-Jun-14,18025,8624
13-Jun-14,18557,9258
20-Jun-14,18807,8813
27-Jun-14,19433,9168
4-Jul-14,19248,8935
11-Jul-14,19277,9057
18-Jul-14,19311,8792
25-Jul-14,19607,9006
1-Aug-14,20335,9359
8-Aug-14,19825,8922
15-Aug-14,19885,8775
22-Aug-14,19183,9100
29-Aug-14,19955,9480
5-Sep-14,18596,8611
12-Sep-14,19749,8707
19-Sep-14,19177,8781
26-Sep-14,19400,8660
3-Oct-14,19019,8645
10-Oct-14,19595,9043
17-Oct-14,18645,8836
24-Oct-14,20061,8867
31-Oct-14,19607,9162
7-Nov-14,19844,9005
14-Nov-14,19702,9194
21-Nov-14,20480,9254
28-Nov-14,19831,9425
5-Dec-14,19454,8549
12-Dec-14,20465,9373
19-Dec-14,21037,9518
26-Dec-14,19939,9614
2-Jan-15,19344,8809
9-Jan-15,19224,8875
16-Jan-15,20204,8851
23-Jan-15,20508,9022
30-Jan-15,18635,8442
6-Feb-15,19655,8282
13-Feb-15,20387,8809
20-Feb-15,19776,8915
27-Feb-15,19654,8630
6-Mar-15,18609,8515
13-Mar-15,19518,9260
20-Mar-15,18700,8619
27-Mar-15,19475,9435
3-Apr-15,19123,8610
10-Apr-15,18995,8914
17-Apr-15,19139,9185
24-Apr-15,19576,8920
1-May-15,18196,8785
8-May-15,20651,9201
15-May-15,20235,9261
22-May-15,19980,9734
29-May-15,18878,8978
5-Jun-15,19783,9600
12-Jun-15,19971,9176
19-Jun-15,20682,9655
26-Jun-15,19730,9731
3-Jul-15,19246,9532
10-Jul-15,19864,9404
17-Jul-15,21021,9749
24-Jul-15,20246,9339
31-Jul-15,20221,9687
7-Aug-15,20094,9686
14-Aug-15,21397,9705
21-Aug-15,19423,9189
28-Aug-15,20252,9438
4-Sep-15,19795,9017
11-Sep-15,18543,8983
18-Sep-15,20141,9215
25-Sep-15,19592,9021
2-Oct-15,18875,8958
9-Oct-15,19473,9137
16-Oct-15,19477,9157
23-Oct-15,20303,9343
30-Oct-15,19477,9184
6-Nov-15,19809,9388
13-Nov-15,19465,9054
20-Nov-15,19427,8921
27-Nov-15,19866,9281
4-Dec-15,20270,9420
11-Dec-15,20237,9220
18-Dec-15,19785,9185
25-Dec-15,20478,9395
1-Jan-16,18296,8159
8-Jan-16,18540,8500
15-Jan-16,19976,9079
22-Jan-16,21101,8941
29-Jan-16,19156,8341
5-Feb-16,19022,9122
12-Feb-16,19742,9203
19-Feb-16,20668,9576
26-Feb-16,19199,9121
4-Mar-16,19864,9411
11-Mar-16,19260,9458
18-Mar-16,19403,9503
25-Mar-16,19454,9244
1-Apr-16,19868,9224
8-Apr-16,19987,9633
15-Apr-16,20228,9444
22-Apr-16,19828,9315
29-Apr-16,20242,9502
6-May-16,19952,9658
13-May-16,20775,9755
20-May-16,20438,9516
27-May-16,20355,9716
3-Jun-16,19779,9568
10-Jun-16,20840,9762
17-Jun-16,20010,9815
24-Jun-16,21149,9709
1-Jul-16,20050,9755
8-Jul-16,19447,9671
15-Jul-16,20653,9785
22-Jul-16,20802,9797
29-Jul-16,20950,9752
5-Aug-16,20701,9769
12-Aug-16,20625,9762
19-Aug-16,20741,9659
26-Aug-16,20152,9511
2-Sep-16,21310,9595
9-Sep-16,20221,9406
16-Sep-16,19431,9650
23-Sep-16,19226,8880
30-Sep-16,20561,9390
7-Oct-16,20738,9264
14-Oct-16,19716,8798
21-Oct-16,20465,9118
28-Oct-16,19884,9183
4-Nov-16,20191,9213
11-Nov-16,19349,9359
18-Nov-16,20034,9024
25-Nov-16,19758,9080
2-Dec-16,19102,8757
9-Dec-16,18879,8874
16-Dec-16,21409,9269
23-Dec-16,20159,9278
30-Dec-16,17925,8465
6-Jan-17,18606,8470
13-Jan-17,20702,8069
20-Jan-17,18639,8039
27-Jan-17,19307,8310
3-Feb-17,20814,8941
10-Feb-17,18663,8433
17-Feb-17,20360,8663
24-Feb-17,19496,8686
3-Mar-17,19900,9268
10-Mar-17,19464,9254
17-Mar-17,19255,9200
24-Mar-17,19874,9524
31-Mar-17,19703,9245
7-Apr-17,19879,9275
14-Apr-17,19440,9223
21-Apr-17,19110,9206
28-Apr-17,19894,9156
5-May-17,20545,9408
12-May-17,19484,9452
19-May-17,20795,9704
26-May-17,20757,9822
2-Jun-17,19340,9317
9-Jun-17,19514,9269
16-Jun-17,21067,9816
23-Jun-17,19646,9538
30-Jun-17,22225,9705
7-Jul-17,19958,9786
14-Jul-17,21178,9592
21-Jul-17,21289,9821
28-Jul-17,20591,9842
4-Aug-17,21929,9797
11-Aug-17,20959,9522
18-Aug-17,20678,9629
25-Aug-17,21430,9846
1-Sep-17,19957,9163
